,count,mean,min,25%,50%,75%,max,std
id,65535.0,19098550.149996184,1001254.0,10049943.0,19098550.0,28147157.0,37195764.0,10448670.584823258
host id,65535.0,49343621381.18976,130349612.0,24664062957.0,49206220974.0,74131945893.0,98763129024.0,28537359003.77767
lat,65527.0,40.728096617872474,40.49979,40.68862,40.72261,40.76279,40.91697,0.05591327223016752
long,65527.0,-73.94931742785433,-74.24984,-73.98292,-73.95456,-73.931805,-73.70522,0.05024762715798121
Construction year,65535.0,2012.4892652780957,2003.0,2008.0,2012.0,2017.0,2022.0,5.753059427126069
price,65535.0,524.0780804150454,50.0,338.0,524.0,710.0,999.0,248.48542431197106
service fee,65535.0,124.80956740672923,10.0,68.0,125.0,182.0,240.0,66.2679523007909
minimum nights,65535.0,8.052338445105669,-1223.0,1.0,3.0,5.0,5645.0,34.822031493917805
number of reviews,65384.0,27.80359109262205,0.0,1.0,7.0,29.0,1024.0,52.17585196495589
last review,65535,2019-08-31 22:38:14.309910,2012-07-11 00:00:00,2019-04-02 00:00:00,2019-06-23 00:00:00,2019-07-07 00:00:00,2058-06-16 00:00:00,
reviews per month,65535.0,1.3217424277103837,0.01,0.32,0.74,1.79,90.0,1.6852496635824288
review rate number,65535.0,3.3128252079041736,1.0,2.0,3.0,4.0,5.0,1.2621900523834646
calculated host listings count,65535.0,8.812558175020982,1.0,1.0,1.0,3.0,332.0,34.546979778735526
availability 365,65535.0,155.9542229343099,-10.0,23.0,131.0,284.0,426.0,134.0479413925594
